"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.0483785670467","80.9710420099347","79.5830324778096","79.4784820149437","80.8603642896287","67.6377971540012","69.680680826302","69.9917122302158","68.691597567717","67.5616194534971","67.3739693192713","66.9290092165899","65.421085238197","65.8893365893366","69.5702660406886","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","44.6171233650562","44.8190681304115","45.9087620429298","44.787715732119","44.4323905075684","46.1615159234973","44.7495615939938","45.0486476774778","45.2135938466693","46.360362522371","48.2743625352635","48.352774896686","49.4230034804881","47.5104305259387","46.3702874857514","46.9231194975719","48.2208054862812","47.5976943181228","48.6777942474894","49.0057478326713","50.573002652201","52.0989349651602","51.5456919449169","51.0238344260413","51.4921099131666","51.0596644052425","50.0481758708318","53.0213628730954","52.3097507907878","51.6034263764092","52.2770045247209","53.1821471411186","53.4014416859954","53.9574687596152","53.3057042954418","53.4131206431383","52.5198255032166","51.1050629875732","51.547753390852",
"Afghanistan","AFG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1511545995992","37.4448038407261","41.1108953364243","39.0077871841904","39.8310243252872","40.294685221301","45.4098308716488","45.2444349261482","48.8793769096891","49.6968203962567","50.5793979236606","52.6827434733525","52.9908650351499","53.2352934986503","59.0232164144095","58.3290500097748","59.4774229106653","55.4728067408306","56.0685496358541",
"Africa Western and Central","AFW","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","46.8643695884852","48.7560814746096","48.6594013950631","47.5465490372038","45.0896311087408","46.7667881522465","44.8855818156561","43.8385055029866","43.0699214041894","43.037823201013","42.488274535836","42.5646936572876","43.2376992301348","42.8233938091172","39.6846064010524","38.1880054212154","38.6212380169408","42.5977400633483","42.7964560574599","42.5363270979122","44.2467888308463","40.1323281483596","40.2303399875828","42.4300163586593","43.0133884623743","46.1404973406049","47.4293696950353","46.3454816540433","48.3534717340496","47.6721674755428","46.2900794314049","47.0133107868588","48.0494617435514","49.071290067956","51.8986891245514","53.37394652206","50.9071144327237","48.5085071647917","47.4753421739563","45.8529581762003",
"Angola","AGO","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0616104906329","25.1524548978866","30.2402406688035","31.9315282885985","20.9923708578417","22.2123554945612","26.9598114360045","37.9075789655613","41.1829863790656","40.347464274602","35.5267258263529","37.1568468383723","34.6118783461354","34.338201603897","48.9906736748373","41.8870236648356","39.0758313423906","39.6049460938059","42.7849161208976","46.8139275295854","48.6598890939393","46.980994325159","46.7626245811004","43.2069094144864","38.8503462339698","41.3944361433503",
"Albania","ALB","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7729052590847","42.3156573150217","43.9942521784097","46.8340280983289","44.3028027650255","44.9427837109107","43.7763109553837","41.911498421985","42.5803439017032","43.5545627609599","43.5234081910995","44.6397015037662","44.6992269329925","45.3173449300047","44.0254492415046","44.2563672971517","44.9546198966638","44.6070047712584","45.782514890673","46.2843479230646","46.697147053603","47.9695072018041","47.7400510870286","48.5759175924794","48.4282850128423",
"Andorra","AND","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","31.58165896153","","41.4309789420255","45.8024221680875","46.8821282119563","","","","","","42.3026326042028","46.4437324159436","42.6831830011182","44.6173615135786","46.0475764780998","45.1033451181136","44.1468355477531","44.424276008497","48.1321929273863","45.2322612997163","41.3361037512542","42.9383105874565","43.4636387221292","42.5085395991323","42.3589402774351","40.0511124777434","39.8064160505392","41.1390477920226","38.8924222437137","45.5493738648704","43.9689444360539","39.9137726815015","41.1229016092933","42.7707836220939","44.6983207902392","52.4213930745662","54.1616145266289","52.3975087808434","49.337597641594","50.7874405112614","53.8410731486409",
"United Arab Emirates","ARE","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","25.4643047004956","27.6401890692683","31.5331369357862","31.3121326365424","28.09722443704","26.8457912124624","31.0883861669878","36.2075815649247","37.8652207393831","36.3468141806264","37.8220266208673","46.6611025062797","44.1756695041514","45.7880271536706","43.7300450012482","40.0392209536602","51.9239305038891","43.3233556993049","47.0391772771792","51.909199895273","52.6677577741408","51.8405657582938","52.567566633727","57.7955770490152","55.6460922334793","49.220338275323","48.0854585516536","50.2509298289115","48.951303152003","46.6562900061707","42.9608649080015","41.0026442799823","44.1831002420827","41.1547160923483","46.9181571110237","46.7057368047177","41.2924815172295","41.9119712593881","44.3500784549129","46.5958941075473","55.3650854475686","57.775316072932","56.6548394963347","52.2483331436066","53.1087906890622","",
"Argentina","ARG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","38.6813582857261","40.1170927423721","42.6362011624409","43.2426585257493","43.4271542070252","48.0836525009197","43.1787867210794","43.4334758186795","44.6950283481664","46.176359627142","43.2747682872493","40.9540839988848","44.1066558214226","46.3979525030575","48.1755980553814","52.426832507347","53.1862535984306","49.3009953094612","49.7853685268061","51.9458352298589","53.0895381715363","54.8191624683246","54.0769662656489","52.5355207001495","48.0360922412516","55.8544476443929","60.5611985052019","63.3252164422299","61.056897614085","61.5907929226228","62.263779670525","61.3509955456509","60.8492831021072","61.5396856144834","63.4877305192171","63.469313441501","65.0812573281962","54.7764456459146","51.0316942508769","47.8369882937827","48.4861459282405","48.7491333682456","49.5083307772744","50.2551922042782","53.3060010032753","51.4951802052167","51.8119007511102","53.6581179163924","53.9190936666216","52.9405434663365","55.8149012843362","56.1222358547004","57.3499373815692","55.9260216985071","54.3334016942752","54.3371880468241",
"Armenia","ARM","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6989324054448","45.749756861728","47.4130437470384","48.2126693907876","49.9105094267778","50.7652583569469","52.6163051198371","54.2338376614097","53.2963672595596",
"American Samoa","ASM","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","75.0552848725061","75.6169049834668","75.1073268722841","73.5559808004295","73.1374513921836","75.6975860315143","76.5225499093106","76.7931207571769","75.8147470055005","72.3599788612017","71.8533919920859","71.7420500418804","71.5149365159794","72.4924832939697","72.312991596251","73.2393216919128","74.2167657460017","74.2117301094592","73.6741816688694","73.6755363602892","74.0225394113198","74.4339056187093","74.1528659957269","76.2065256364288","75.8474066534031","74.9866974709277","74.479623919352","73.1680405272081","72.6147719044171","68.2770844197601","67.6409598104078","67.2690507922005","68.4172121731107","70.687637232427","72.0802052337203","71.6157488286531","70.9483966632287","70.3871640764845","69.8808834408864","68.5308267032417","67.3897576408968","65.8120407433469","66.2552091458115","65.2172661267949",
